split, sceneId, level, roomId, roomType, startX, startY, startZ, startAngle, goalObjectId, goalX, goalY, goalZ, dist, pathDist, pathNumDoors, pathDoorIds, pathNumRooms, pathRoomIndices
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-3.038,2.709,-0.278,7.209,7.677,,,,
train,Hanson,0,,,0.081,-0.021,2.717,1.598,,-1.858,9.521,2.735,9.737,11.356,,,,
train,Hanson,0,,,-1.977,0.559,2.705,3.794,,-2.083,6.764,2.730,6.206,6.462,,,,
train,Hanson,0,,,-1.205,-2.660,2.707,5.008,,-2.922,2.045,2.724,5.009,5.337,,,,
train,Hanson,2,,,-3.038,2.709,-0.278,1.242,,0.473,-1.782,-0.260,5.700,7.451,,,,
train,Hanson,2,,,-1.681,9.333,-0.266,3.177,,-2.915,-1.548,-0.269,10.951,11.309,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,-3.038,2.709,-0.278,5.572,5.583,,,,
train,Hanson,2,,,-0.194,9.333,-0.258,1.099,,-2.921,-3.295,-0.255,12.919,13.681,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,-1.243,2.046,-0.275,6.731,7.497,,,,
train,Hanson,2,,,-3.035,5.756,-0.280,6.272,,-4.220,-3.308,-0.249,9.141,9.155,,,,
train,Hanson,2,,,-4.220,-3.308,-0.249,1.502,,-0.022,2.623,-0.278,7.267,9.150,,,,
train,Hanson,0,,,-1.409,-4.723,2.713,0.649,,-2.922,2.045,2.724,6.936,7.408,,,,
train,Hanson,2,,,0.118,4.080,-0.277,4.561,,0.473,-1.782,-0.260,5.873,5.873,,,,
train,Hanson,0,,,-1.092,-0.306,2.707,0.224,,-1.858,9.521,2.735,9.857,10.379,,,,
train,Hanson,2,,,-0.289,7.187,-0.271,2.820,,-2.861,1.335,-0.276,6.393,6.912,,,,
train,Hanson,2,,,-3.086,7.229,-0.276,3.790,,-3.177,-0.096,-0.277,7.326,7.326,,,,
train,Hanson,2,,,-1.589,6.111,-0.282,2.150,,-0.135,-0.586,-0.272,6.852,8.914,,,,
train,Hanson,2,,,-1.589,6.111,-0.282,2.150,,-4.220,-3.308,-0.249,9.780,9.948,,,,
train,Hanson,2,,,-1.681,9.333,-0.266,3.177,,-0.135,-0.586,-0.272,10.038,10.648,,,,
train,Hanson,2,,,-3.086,7.229,-0.276,3.790,,-4.220,-3.308,-0.249,10.598,10.628,,,,
train,Hanson,0,,,-1.205,-2.660,2.707,5.008,,-2.083,6.764,2.730,9.465,9.983,,,,
train,Hanson,2,,,-2.347,8.212,-0.278,1.514,,-2.921,-3.295,-0.255,11.521,11.755,,,,
train,Hanson,2,,,-2.347,8.212,-0.278,1.514,,-2.915,-1.548,-0.269,9.777,10.009,,,,
train,Hanson,0,,,-1.409,-4.723,2.713,0.649,,-1.858,9.521,2.735,14.252,14.808,,,,
train,Hanson,0,,,-1.289,-1.394,2.704,1.071,,-1.858,9.521,2.735,10.930,11.485,,,,
train,Hanson,2,,,0.595,5.915,-0.276,2.845,,-2.921,-3.295,-0.255,9.859,12.372,,,,
train,Hanson,2,,,-4.196,-1.444,-0.256,1.348,,-0.022,2.623,-0.278,5.828,7.329,,,,
train,Hanson,2,,,-3.086,7.229,-0.276,3.790,,-0.022,0.884,-0.269,7.046,8.120,,,,
train,Hanson,0,,,-1.409,-4.723,2.713,0.649,,-2.083,6.764,2.730,11.507,12.055,,,,
train,Hanson,0,,,-1.977,0.559,2.705,3.794,,-1.858,9.521,2.735,8.963,9.218,,,,
train,Hanson,2,,,-1.589,6.111,-0.282,2.150,,-4.196,-1.444,-0.256,7.992,8.152,,,,
train,Hanson,2,,,-3.957,8.205,-0.273,0.998,,0.473,-1.782,-0.260,10.925,13.033,,,,
train,Hanson,0,,,-2.922,2.045,2.724,3.135,,-1.858,9.521,2.735,7.551,7.551,,,,
train,Hanson,2,,,-0.289,7.187,-0.271,2.820,,-1.243,2.046,-0.275,5.230,6.249,,,,
train,Hanson,2,,,0.595,5.915,-0.276,2.845,,-2.915,-1.548,-0.269,8.248,10.626,,,,
train,Hanson,0,,,-1.205,-2.660,2.707,5.008,,-2.932,3.797,2.733,6.684,6.930,,,,
train,Hanson,2,,,-3.035,5.756,-0.280,6.272,,-2.921,-3.295,-0.255,9.051,9.051,,,,
train,Hanson,2,,,-3.082,3.782,-0.282,5.736,,-4.196,-1.444,-0.256,5.344,5.386,,,,
train,Hanson,2,,,-0.289,7.187,-0.271,2.820,,-3.038,2.709,-0.278,5.256,5.529,,,,
train,Hanson,0,,,-1.791,-3.496,2.726,4.427,,-2.922,2.045,2.724,5.656,6.245,,,,
